Row_ID,Sex,Is Satisfied with space allocated,Is satisfied with hygiene and sanitation,Is enough healthcare facilities,Is satisfied with the quality of healthcare,Is satisfied with the level of psychological support,Is satisfied with the level of social support,Able to exercise religion freely,Is satisfied with the no of religious facilities,Is enough educational opportunities (< 12 yrs),Are enough educational opportunities (12-18 yrs),Are enough educational opportunities (> 18 yrs),Is satisfied with the quality of education,Is satisfied with the no of job opportunities,Is satisfied with the income,Is satisfied with the overall help from NGOs,Enough good friends,Consider any Bangladeshis as friends,Believe Rohingya and Bangladeshis can be good friends,Have trust on the police/military/guards of camps in Bangladesh,Trust on the NGOs in the camp,Feel stressed or overwhelmed by situation,Talking about problems with others ,Solving problems alone or by asking others,Comfortable talking about problems with NGO workers,Is the situation in the camp is better now or 6 months ago,Smoke cigarettes?,Average cigarettes per day,Smoke before coming to Bangladesh,Chew betel nuts,How many betel nuts a day on average?,Chew before coming to Bangladesh,Ever seen any Rohingya use medicine or syrup often without needing it,Suspense any Rohingya in the camp who use drug,Have you ever seen any Rohingya in the camp use illegal substances (like alcohol or drugs)?,Suspense any Rohingya in the camp who are involved in illegal activities,Hear people talking about violent groups in the camp,Thoughts on violence in the camp has changed over time,Thoughts on sexual harassment in the camp happens often,Where does sexual harassment happen the most?,How afraid are you to leave your child unattended in the camp after it gets dark?,Do you think that there are Rohingya families whose child has gone missing since they moved to Bangladesh?,Do you personally know any Rohingya families whose child has gone missing since they moved to this camp?,To what extent do you feel at home in the camp in Bangladesh now?,Do you know that the Bangladesh government plans on moving Rohingya to Bhasan Char?,Are you willing to go?,Do you think that the government of Myanmar will recognize the rights of Rohingya in the next two years?,Will you return to Myanmar?,Do you think that repatriation to Myanmar will happen in the next two years?,Know any Rohingya who left Bangladesh in the last six months,Where did they go?,Have you thought about leaving to go to another country other than Myanmar and Bangladesh?,How scared are you to leave for another country?,Where do you think you will be in six months from now?,"If you could choose any country in the world, other than Myanmar, where would you go?",Where do you think the majority of Rohingya would choose to go if they could choose freely (apart from Myanmar)?,How do you feel about the future?
11604,Male,Unsatisfied,Satisfied,FALSE,Unsatisfied,Unsatisfied,Satisfied,TRUE,Satisfied,TRUE,N/A,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,TRUE,TRUE,Quite a bit of trust,Quite a bit of trust,TRUE,talking,I ask for help,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,,Yes,FALSE,No,Never,Decreased,No,,I don't have children - does not apply,FALSE,,Not at all,N/A,,FALSE,TRUE,FALSE,No,,FALSE,scared,Can't imagine/I am not sure where I will be,Australia,"Australia, Canada, Saudi Arabia",positive
11605,Male,Unsatisfied,Unsatisfied,TRUE,Unsatisfied,Unsatisfied,Unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,N/A,Unsatisfied,Neither satisfied nor unsatisfied,FALSE,TRUE,TRUE,A lot of trust,Quite a bit of trust,TRUE,talking,I ask for help,Comfortable enough,same-nothing has changed,TRUE,20,FALSE,FALSE,,,,No,,N/A,Never,Decreased,No,,Very afraid,FALSE,,Not at all,N/A,,FALSE,TRUE,FALSE,No,,FALSE,scared,Can't imagine/I am not sure where I will be,"Australia, Switzerland","Australia, USA",neither positive nor negative
11612,Male,Unsatisfied,Very satisfied,FALSE,Very unsatisfied,Unsatisfied,Unsatisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,trying to forget,I ask for help,Comfortable enough,same-nothing has changed,TRUE,5,TRUE,TRUE,6,Yes,,N/A,,N/A,Never,Decreased,No,,Very afraid,TRUE,TRUE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,not scared,Can't imagine/I am not sure where I will be,"Canada, USA","Australia, Saudi Arabia, USA",negative
11613,Male,Unsatisfied,Satisfied,TRUE,Very unsatisfied,Unsatisfied,Unsatisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,Quite a bit of trust,TRUE,trying to forget,I ask for help,Comfortable enough,same-nothing has changed,TRUE,20,TRUE,TRUE,10,Yes,,N/A,,N/A,Never,Decreased,No,,Very afraid,FALSE,,Not at all,Yes,No,TRUE,TRUE,FALSE,No,,FALSE,scared,Can't imagine/I am not sure where I will be,"Saudi Arabia, USA","Malaysia, Saudi Arabia, USA",positive
11617,Female,Unsatisfied,Satisfied,TRUE,Very unsatisfied,Satisfied,Neither satisfied nor unsatisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Satisfied,Unsatisfied,Unsatisfied,TRUE,FALSE,TRUE,Quite a bit of trust,Little trust,TRUE,trying to forget,I solve my problems myself,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,3,Yes,,N/A,,No,A few times a month,Decreased a lot,I don't want to answer,,Very afraid,FALSE,,Very little,Yes,No,FALSE,TRUE,TRUE,No,,TRUE,scared,Can't imagine/I am not sure where I will be,Malaysia,UK,very positive
11623,Female,Very unsatisfied,Satisfied,TRUE,Very unsatisfied,Unsatisfied,Satisfied,TRUE,Satisfied,TRUE,Yes,FALSE,Satisfied,Very unsatisfied,Very unsatisfied,Satisfied,TRUE,FALSE,FALSE,Little trust,Quite a bit of trust,FALSE,trying to forget,I solve my problems myself,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,,N/A,,No,Never,Decreased a lot,Yes,In the streets,Afraid,FALSE,,Somewhat,Yes,No,TRUE,FALSE,TRUE,Yes,Malaysia,FALSE,scared,Myanmar/Motherland,Canada,Canada,very positive
11624,Female,Unsatisfied,Unsatisfied,TRUE,Very unsatisfied,Satisfied,Neither satisfied nor unsatisfied,TRUE,Very satisfied,TRUE,No,TRUE,Unsatisfied,Very unsatisfied,Very unsatisfied,Satisfied,TRUE,FALSE,TRUE,No trust at all,Quite a bit of trust,FALSE,trying to forget,I solve my problems myself,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,12,N/A,,No,,N/A,Never,Same,Yes,In the market,Afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp",Malaysia,USA,very positive
11625,Female,Unsatisfied,Very satisfied,TRUE,Very unsatisfied,Satisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Very unsatisfied,Satisfied,Unsatisfied,TRUE,TRUE,TRUE,Little trust,Quite a bit of trust,TRUE,trying to forget,I ask for help,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,,No,,N/A,Never,Same,Yes,In the streets,Very afraid,FALSE,,Very little,N/A,,FALSE,TRUE,FALSE,N/A,,FALSE,very scared,Can't imagine/I am not sure where I will be,Canada,Canada,positive
11626,Female,Satisfied,Unsatisfied,FALSE,Very unsatisfied,Very satisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,TRUE,TRUE,TRUE,No trust at all,A lot of trust,TRUE,trying to forget,I ask for help,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,3,No,,I don't want to answer,,Yes,A few times a month,Decreased,Yes,In the streets,Very afraid,TRUE,TRUE,Very little,Yes,Yes,FALSE,TRUE,FALSE,Yes,Malaysia,FALSE,very scared,"Here, in the camp ",Canada,Canada,very positive
11627,Female,Unsatisfied,Unsatisfied,TRUE,Unsatisfied,Satisfied,Very satisfied,TRUE,Very satisfied,TRUE,Yes,TRUE,Unsatisfied,Unsatisfied,Very unsatisfied,Unsatisfied,TRUE,TRUE,FALSE,Quite a bit of trust,A lot of trust,TRUE,trying to forget,I ask for help,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,5,Yes,,I don't want to answer,,Yes,A few times a month,Same,Yes,In the market,I don't have children - does not apply,TRUE,FALSE,Very little,Yes,No,FALSE,FALSE,FALSE,No,,TRUE,scared,Myanmar/Motherland,Australia,Canada,very positive
