Row_ID,Sex,Is Satisfied with space allocated,Is satisfied with hygiene and sanitation,Is enough healthcare facilities,Is satisfied with the quality of healthcare,Is satisfied with the level of psychological support,Is satisfied with the level of social support,Able to exercise religion freely,Is satisfied with the no of religious facilities,Is enough educational opportunities (< 12 yrs),Are enough educational opportunities (12-18 yrs),Are enough educational opportunities (> 18 yrs),Is satisfied with the quality of education,Is satisfied with the no of job opportunities,Is satisfied with the income,Is satisfied with the overall help from NGOs,Enough good friends,Consider any Bangladeshis as friends,Believe Rohingya and Bangladeshis can be good friends,Have trust on the police/military/guards of camps in Bangladesh,Trust on the NGOs in the camp,Feel stressed or overwhelmed by situation,Talking about problems with others ,Solving problems alone or by asking others,Comfortable talking about problems with NGO workers,Is the situation in the camp is better now or 6 months ago,Smoke cigarettes?,Average cigarettes per day,Smoke before coming to Bangladesh,Chew betel nuts,How many betel nuts a day on average?,Chew before coming to Bangladesh,Ever seen any Rohingya use medicine or syrup often without needing it,Suspense any Rohingya in the camp who use drug,Have you ever seen any Rohingya in the camp use illegal substances (like alcohol or drugs)?,Suspense any Rohingya in the camp who are involved in illegal activities,Hear people talking about violent groups in the camp,Thoughts on violence in the camp has changed over time,Thoughts on sexual harassment in the camp happens often,Where does sexual harassment happen the most?,How afraid are you to leave your child unattended in the camp after it gets dark?,Do you think that there are Rohingya families whose child has gone missing since they moved to Bangladesh?,Do you personally know any Rohingya families whose child has gone missing since they moved to this camp?,To what extent do you feel at home in the camp in Bangladesh now?,Do you know that the Bangladesh government plans on moving Rohingya to Bhasan Char?,Are you willing to go?,Do you think that the government of Myanmar will recognize the rights of Rohingya in the next two years?,Will you return to Myanmar?,Do you think that repatriation to Myanmar will happen in the next two years?,Know any Rohingya who left Bangladesh in the last six months,Where did they go?,Have you thought about leaving to go to another country other than Myanmar and Bangladesh?,How scared are you to leave for another country?,Where do you think you will be in six months from now?,"If you could choose any country in the world, other than Myanmar, where would you go?",Where do you think the majority of Rohingya would choose to go if they could choose freely (apart from Myanmar)?,How do you feel about the future?
12014,Female,Unsatisfied,Satisfied,TRUE,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,now,FALSE,,,FALSE,,,,No,,No,A few times a week,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,FALSE,No,,TRUE,neither scared nor not scared,"Here, in the camp",Malaysia,USA,positive
12015,Female,Very unsatisfied,Unsatisfied,TRUE,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Neither satisfied nor unsatisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Very unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,now,FALSE,,,FALSE,,,,No,,No,A few times a week,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,scared,Myanmar/Motherland,Canada,USA,positive
12016,Male,Unsatisfied,Unsatisfied,TRUE,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,now,FALSE,,,TRUE,10,Yes,,No,,No,A few times a month,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,not scared,"Here, in the camp",USA,USA,positive
12017,Male,Unsatisfied,Satisfied,TRUE,Satisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Satisfied,Satisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,now,FALSE,,,TRUE,10,Yes,,No,,No,A few times a week,Increased,Yes,In the market,I don't have children - does not apply,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,scared,Myanmar/Motherland,Canada,Turkey,positive
12019,Male,Unsatisfied,Unsatisfied,TRUE,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,now,FALSE,,,FALSE,,,,No,,No,A few times a week,Increased,Yes,In the streets,I don't have children - does not apply,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,not scared,"Here, in the camp",USA,Australia,positive
12020,Male,Unsatisfied,Satisfied,TRUE,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Very unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,now,FALSE,,,TRUE,10,Yes,,No,,No,A few times a month,Increased,Yes,In the streets,I don't have children - does not apply,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,not scared,"Here, in the camp",USA,Australia,positive
12021,Female,Unsatisfied,Very satisfied,TRUE,Satisfied,Unsatisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Very unsatisfied,Unsatisfied,Satisfied,TRUE,FALSE,TRUE,Quite a bit of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,6,Yes,,No,,No,Never,Same,No,,Very afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp ",USA,USA,positive
12022,Female,Unsatisfied,Satisfied,TRUE,Satisfied,Unsatisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Unsatisfied,Satisfied,TRUE,FALSE,TRUE,A lot of trust,Quite a bit of trust,TRUE,talking,I ask for help,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,,No,,I don't want to answer,A few times a year,Decreased a lot,No,,Afraid,TRUE,FALSE,Very little,Yes,No,FALSE,FALSE,FALSE,No,,FALSE,very scared,"Here, in the camp",Turkey,Turkey,very positive
12023,Female,Unsatisfied,Very satisfied,FALSE,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Very unsatisfied,Satisfied,TRUE,FALSE,TRUE,Quite a bit of trust,A lot of trust,FALSE,talking,I ask for help,Comfortable enough,six months ago,FALSE,,,TRUE,15,Yes,TRUE,No,,Yes,A few times a year,Decreased,No,,Afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,scared,Can't imagine/I am not sure where I will be,Canada,Canada,positive
12024,Female,Very unsatisfied,Unsatisfied,TRUE,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,TRUE,FALSE,TRUE,Quite a bit of trust,Quite a bit of trust,TRUE,talking,I ask for help,Uncomfortable,same-nothing has changed,FALSE,,,FALSE,,,,No,,I don't want to answer,A few times a year,Same,Yes,In the streets,Afraid,TRUE,FALSE,Very little,Yes,No,FALSE,FALSE,FALSE,No,,FALSE,very scared,Depends on luck,Saudi Arabia,Saudi Arabia,positive
12025,Female,Very satisfied,Very satisfied,TRUE,Satisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,TRUE,FALSE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,,No,,No,Never,Same,No,,Afraid,TRUE,FALSE,Somewhat,Yes,Yes,FALSE,FALSE,FALSE,No,,TRUE,not scared,"Here, in the camp",Australia,Australia,positive
12026,Female,Satisfied,Very satisfied,TRUE,Unsatisfied,Unsatisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Very unsatisfied,Unsatisfied,Satisfied,FALSE,FALSE,TRUE,Quite a bit of trust,Quite a bit of trust,FALSE,talking,I ask for help,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,,No,,No,A few times a year,Same,No,,Afraid,TRUE,FALSE,Somewhat,Yes,No,FALSE,FALSE,FALSE,No,,FALSE,very scared,Another (peaceful) place/country,Canada,Canada,positive
12027,Female,Unsatisfied,Satisfied,TRUE,Satisfied,Unsatisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Unsatisfied,Satisfied,TRUE,FALSE,TRUE,Quite a bit of trust,Quite a bit of trust,FALSE,talking,I ask for help,Comfortable enough,now,FALSE,,,TRUE,5,Yes,,No,,I don't want to answer,A few times a year,Decreased a lot,No,,Afraid,TRUE,FALSE,Somewhat,Yes,No,FALSE,FALSE,FALSE,No,,TRUE,not scared,Another (peaceful) place/country,Canada,Canada,positive
12028,Female,Unsatisfied,Very satisfied,TRUE,Satisfied,Unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Very unsatisfied,Satisfied,TRUE,FALSE,TRUE,Quite a bit of trust,Quite a bit of trust,TRUE,talking,I ask for help,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,,No,,I don't want to answer,A few times a year,Same,No,,Afraid,TRUE,FALSE,Somewhat,Yes,No,FALSE,FALSE,FALSE,No,,TRUE,not scared,Another (peaceful) place/country,USA,USA,positive
12029,Female,Unsatisfied,Very satisfied,TRUE,Satisfied,Unsatisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Unsatisfied,Satisfied,TRUE,FALSE,TRUE,A lot of trust,A lot of trust,TRUE,trying to forget,I solve my problems myself,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,,No,,Yes,A few times a year,Same,No,,Afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,FALSE,scared,Myanmar/Motherland,I don't want to go anywhere else.,I don't know about the majority,neither positive nor negative
12030,Female,Satisfied,Very satisfied,TRUE,Satisfied,Unsatisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Satisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,,No,,I don't want to answer,A few times a year,Same,No,,Afraid,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp ",USA,USA,positive
12031,Female,Satisfied,Satisfied,TRUE,Satisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,TRUE,FALSE,TRUE,Quite a bit of trust,Quite a bit of trust,TRUE,talking,I ask for help,Very comfortable,same-nothing has changed,FALSE,,,FALSE,,,,No,,No,A few times a year,Same,No,,Afraid,TRUE,FALSE,Somewhat,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp ",I don't want to go anywhere else.,No reply/No comment,neither positive nor negative
12032,Female,Unsatisfied,Satisfied,TRUE,Unsatisfied,Unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Very unsatisfied,Satisfied,TRUE,FALSE,TRUE,A lot of trust,Quite a bit of trust,TRUE,talking,I ask for help,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,,No,,Yes,A few times a year,Decreased a lot,No,,Afraid,TRUE,FALSE,Somewhat,Yes,No,TRUE,TRUE,TRUE,No,,FALSE,very scared,Myanmar/Motherland,I don't want to go anywhere else.,I don't know about the majority,neither positive nor negative
12033,Female,Satisfied,Very satisfied,TRUE,Satisfied,Unsatisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Unsatisfied,Satisfied,TRUE,FALSE,TRUE,A lot of trust,Quite a bit of trust,TRUE,talking,I ask for help,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,,No,,No,Never,Same,No,,Afraid,TRUE,FALSE,Very little,Yes,No,FALSE,FALSE,FALSE,No,,TRUE,not scared,"Here, in the camp ",Canada,Canada,positive
12034,Female,Satisfied,Very satisfied,TRUE,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,TRUE,FALSE,FALSE,Quite a bit of trust,Quite a bit of trust,TRUE,talking,I ask for help,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,,No,,Yes,A few times a year,Decreased,Yes,In the streets,I don't have children - does not apply,TRUE,FALSE,Somewhat,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp",Canada,Canada,positive
12035,Female,Unsatisfied,Satisfied,TRUE,Satisfied,Unsatisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,TRUE,FALSE,TRUE,Quite a bit of trust,Quite a bit of trust,TRUE,talking,I ask for help,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,,No,,No,Never,Same,No,,Afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,not scared,Another (peaceful) place/country,USA,USA,positive
12036,Female,Satisfied,Satisfied,TRUE,Unsatisfied,Unsatisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,TRUE,FALSE,FALSE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,FALSE,I don't want to answer,,I don't want to answer,A few times a year,Decreased a lot,No,,Afraid,TRUE,FALSE,Somewhat,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,not scared,Another (peaceful) place/country,Australia,Australia,positive
12037,Female,Unsatisfied,Satisfied,TRUE,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,TRUE,FALSE,FALSE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,same-nothing has changed,FALSE,,,TRUE,15,Yes,,No,,No,A few times a year,Same,No,,Afraid,TRUE,FALSE,Somewhat,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,scared,"Here, in the camp ",Saudi Arabia,Saudi Arabia,positive
12039,Male,Unsatisfied,Satisfied,TRUE,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,now,TRUE,15,FALSE,TRUE,20,Yes,,No,,No,A few times a month,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Not at all,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,scared,"Here, in the camp",USA,Australia,very negative
12040,Male,Unsatisfied,Satisfied,TRUE,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Very unsatisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,now,TRUE,10,TRUE,TRUE,20,Yes,,No,,No,A few times a week,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,not scared,"Here, in the camp",Canada,Turkey,positive
12041,Male,Unsatisfied,Satisfied,TRUE,Satisfied,Very unsatisfied,Very satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Satisfied,Unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,now,TRUE,10,TRUE,TRUE,15,Yes,,No,,No,A few times a month,Increased,Yes,In the market,Very afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,not scared,Myanmar/Motherland,Australia,Turkey,positive
12042,Male,Unsatisfied,Unsatisfied,TRUE,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,now,TRUE,10,FALSE,TRUE,20,Yes,,No,,No,A few times a week,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,not scared,Myanmar/Motherland,Australia,Turkey,positive
12043,Male,Unsatisfied,Satisfied,TRUE,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,now,FALSE,,,TRUE,10,Yes,,No,,No,A few times a week,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,not scared,"Here, in the camp",USA,Australia,positive
12044,Male,Unsatisfied,Unsatisfied,TRUE,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,now,TRUE,20,TRUE,TRUE,20,Yes,,No,,No,A few times a month,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Not at all,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,not scared,Myanmar/Motherland,USA,Turkey,positive
12045,Male,Unsatisfied,Unsatisfied,TRUE,Satisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Satisfied,Satisfied,Satisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,now,TRUE,10,FALSE,TRUE,20,Yes,,No,,No,A few times a week,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,not scared,Myanmar/Motherland,USA,Canada,positive
12046,Male,Unsatisfied,Satisfied,TRUE,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Very unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,now,TRUE,10,TRUE,TRUE,20,Yes,,No,,No,A few times a month,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,not scared,Myanmar/Motherland,Canada,USA,positive
12047,Male,Unsatisfied,Satisfied,TRUE,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,now,TRUE,10,FALSE,TRUE,20,Yes,,No,,No,A few times a year,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,not scared,"Here, in the camp",Australia,Canada,positive
12048,Male,Very unsatisfied,Satisfied,TRUE,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,now,TRUE,20,FALSE,TRUE,20,Yes,,No,,No,A few times a month,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,not scared,"Here, in the camp",Australia,Turkey,positive
12049,Male,Unsatisfied,Satisfied,TRUE,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Unsatisfied,Very unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,now,FALSE,,,TRUE,5,Yes,,No,,No,A few times a month,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,not scared,"Here, in the camp",Canada,Turkey,positive
12050,Male,Very unsatisfied,Satisfied,TRUE,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Satisfied,Very unsatisfied,Unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,now,FALSE,,,TRUE,20,Yes,,No,,No,A few times a week,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,not scared,"Here, in the camp",Canada,Australia,positive
12051,Male,Unsatisfied,Satisfied,TRUE,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Very unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,now,FALSE,,,TRUE,10,Yes,,No,,No,A few times a month,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,not scared,"Here, in the camp",USA,Turkey,positive
12052,Male,Very unsatisfied,Satisfied,TRUE,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Very unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,now,FALSE,,,FALSE,,,,No,,No,A few times a year,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Not at all,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,not scared,Myanmar/Motherland,Australia,Canada,positive
12053,Male,Unsatisfied,Satisfied,TRUE,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Very unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,now,FALSE,,,TRUE,20,Yes,,No,,No,A few times a week,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,not scared,"Here, in the camp",USA,Turkey,positive
12054,Male,Unsatisfied,Satisfied,TRUE,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Very unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,now,FALSE,,,TRUE,20,Yes,,No,,No,A few times a month,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,not scared,"Here, in the camp",Canada,USA,positive
12055,Male,Very unsatisfied,Satisfied,TRUE,Unsatisfied,Very unsatisfied,Satisfied,TRUE,Satisfied,TRUE,No,FALSE,Unsatisfied,Very unsatisfied,Unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,now,TRUE,25,FALSE,TRUE,15,Yes,,No,,No,A few times a month,Increased,Yes,In the streets,Very afraid,TRUE,FALSE,Very little,Yes,No,TRUE,TRUE,TRUE,No,,TRUE,not scared,"Here, in the camp",USA,Turkey,positive
12058,Male,Satisfied,Satisfied,TRUE,Unsatisfied,Satisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Satisfied,Satisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Very comfortable,same-nothing has changed,FALSE,,,TRUE,3,Yes,,No,,No,A few times a year,Same,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp","Australia, USA","Australia, USA",negative
12059,Male,Unsatisfied,Satisfied,TRUE,Unsatisfied,Unsatisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Very satisfied,Satisfied,Unsatisfied,Very satisfied,TRUE,TRUE,TRUE,A lot of trust,Quite a bit of trust,TRUE,talking,I ask for help,Very comfortable,same-nothing has changed,TRUE,5,TRUE,TRUE,4,Yes,,No,,No,Never,Same,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,very scared,"Here, in the camp",USA,USA,negative
12060,Male,Satisfied,Satisfied,TRUE,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Unsatisfied,Satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,same-nothing has changed,TRUE,5,TRUE,FALSE,,,,No,,No,Never,Same,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,negative
12061,Male,Satisfied,Satisfied,TRUE,Unsatisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Satisfied,Unsatisfied,Very satisfied,TRUE,TRUE,TRUE,A lot of trust,Quite a bit of trust,TRUE,talking,I ask for help,Comfortable enough,same-nothing has changed,TRUE,5,TRUE,FALSE,,,,No,,No,Never,Same,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,negative
12062,Male,Satisfied,Satisfied,TRUE,Satisfied,Unsatisfied,Satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Unsatisfied,Satisfied,Satisfied,Very satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,same-nothing has changed,FALSE,,,FALSE,,,,No,,No,Never,Same,No,,I don't have children - does not apply,TRUE,FALSE,Very little,Yes,No,FALSE,TRUE,FALSE,No,,TRUE,very scared,"Here, in the camp","Australia, Canada, USA","Australia, Canada, USA",negative
12063,Male,Unsatisfied,Satisfied,TRUE,Unsatisfied,Unsatisfied,Very satisfied,TRUE,Very satisfied,TRUE,No,FALSE,Satisfied,Unsatisfied,Unsatisfied,Very satisfied,TRUE,TRUE,TRUE,A lot of trust,A lot of trust,TRUE,talking,I ask for help,Comfortable enough,same-nothing has changed,TRUE,6,TRUE,TRUE,3,Yes,,No,,No,Never,Same,No,,Very afraid,TRUE,FALSE,Not at all,Yes,No,FALSE,TRUE,FALSE,No,,FALSE,very scared,"Here, in the camp",Saudi Arabia,Saudi Arabia,negative
